"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_1729749","HERC5",0.657603155747338,9.68376662475,-3.64413483590629,0.00086974224100638,0.030514759588666,-1.86446325792042,0.657603155747338
"ILMN_2051900","EID2B",1.2088073180458,12.4675323575,3.64311542653559,0.000872231166153223,0.0305800988518504,-1.86721781027021,1.2088073180458
"ILMN_1652024","CSNK1G3",1.33320673724243,6.82120462205556,3.64264804712972,0.000873374591475048,0.0305982054470616,-1.86848060450136,1.33320673724243
"ILMN_1745962","FBXO7",0.579165023973016,13.42744515,-3.63946801095684,0.000881192994956167,0.0308196958451163,-1.87707070663137,0.579165023973016
"ILMN_1695868","TOMM6",0.834300671805106,10.4271030125,-3.63819287373824,0.000884347005306369,0.0308939061560249,-1.88051424445837,0.834300671805106
"ILMN_1812297","CYP26B1",0.285311285758847,4.81241840375,-3.63791453004621,0.000885036929251224,0.0308958921732815,-1.88126584659943,0.285311285758847
"ILMN_1683859","SLC7A1",0.778174596707293,7.42267447908333,-3.6372448836353,0.000886698898720848,0.0309317843847559,-1.88307396533828,0.778174596707293
"ILMN_1755548","HK1",0.497436283699672,4.09583980313889,-3.63672534572397,0.000887990397970304,0.0309547109943891,-1.88447667242983,0.497436283699672
"ILMN_1811110","TDRD9",1.55801531435615,5.1073546485,3.63470967695471,0.000893018308246281,0.0311077605262978,-1.88991795625998,1.55801531435615
"ILMN_1705686","NRGN",0.636730789304069,11.2562590252778,-3.6328023289089,0.000897801358213838,0.0312520682488658,-1.89506558878514,0.636730789304069
"ILMN_1720431","ZNF420",1.80469078883054,4.79710994386111,3.6258159103133,0.000915533557646377,0.0318466031459844,-1.91391051077906,1.80469078883054
"ILMN_1738347","RNPEP",1.25279353284296,7.84045354938889,3.62484923447425,0.000918013575576428,0.0318992006734878,-1.91651670845,1.25279353284296
"ILMN_2094416","PLGLB1",0.366877538772526,6.50172390794444,-3.62451691338081,0.000918867647865418,0.0318992006734878,-1.91741258773221,0.366877538772526
"ILMN_1757644","UBE2H",0.717256639896934,10.8956198716667,-3.62439362530057,0.000919184696111459,0.0318992006734878,-1.91774494136409,0.717256639896934
"ILMN_1808769","LINC00467",0.671635562154088,5.20648416366667,-3.62420880792191,0.000919660171456617,0.0318992006734878,-1.91824315299517,0.671635562154088
"ILMN_1662426","AP2S1",0.631463773404869,11.1621927291667,-3.62311661025328,0.000922474899583267,0.0319741069065072,-1.92118715403353,0.631463773404869
"ILMN_2144573","CTBS",1.26580383697481,10.2388450121389,3.62178691822356,0.00092591291895793,0.0320477504850382,-1.92477077941776,1.26580383697481
"ILMN_1681543","RHBDD1",0.812608027928244,7.28127329794444,-3.62065390402244,0.00092885218072373,0.0321266994867897,-1.92782387610418,0.812608027928244
"ILMN_2358540","RBMS1",0.820195544484105,9.13158718422222,-3.62017509900333,0.000930097003607438,0.0321469717188766,-1.92911396741732,0.820195544484105
"ILMN_1739335","OST4",0.796845391366426,11.90337241,-3.61653941524846,0.000939601984707572,0.0324525093132934,-1.93890744203609,0.796845391366426
"ILMN_1720708","CSNK1D",1.18156730006646,9.23863552305555,3.61428897893407,0.000945532386794564,0.0326342412112695,-1.94496724204094,1.18156730006646
"ILMN_1739840","LRRC8A",0.814920957495035,6.484838455,-3.61287597074868,0.000949274443294069,0.0327402407463466,-1.94877121141161,0.814920957495035
"ILMN_1809957","AP2S1",0.677971876306669,12.8432690152778,-3.61072181768297,0.000955006813714484,0.0329146875209802,-1.95456913021058,0.677971876306669
"ILMN_1668721","CCND3",0.793893207864594,12.5602857238889,-3.60960103527561,0.000958002514908785,0.0329946342520067,-1.95758510654412,0.793893207864594
"ILMN_1737164","TM9SF1",1.28254841613195,6.31463352027778,3.60886170454796,0.000959983613855959,0.0330166703305968,-1.95957438147378,1.28254841613195
"ILMN_1752299","RAB6B",0.644690291329225,5.63654238716667,-3.60863075195842,0.000960603281570754,0.0330166703305968,-1.96019575464173,0.644690291329225
"ILMN_1725700","MOV10",0.76894330076602,7.14832114766667,-3.60860517779665,0.000960671923231101,0.0330166703305968,-1.96026456028951,0.76894330076602
"ILMN_1738173","METTL4",0.828191825082314,6.17033512083333,-3.60655017443703,0.000966203115207773,0.0331833994591731,-1.96579269445504,0.828191825082314
"ILMN_1721713","EXOSC9",0.846618939998325,8.34232998602778,-3.60569438533854,0.00096851559565294,0.0332191826041512,-1.96809441971104,0.846618939998325
"ILMN_1728984","PA2G4",0.762669540092849,9.51346316238889,-3.60566083108458,0.000968606373495629,0.0332191826041512,-1.96818466199367,0.762669540092849
"ILMN_1796749","KIF1C",1.59993114019328,4.06038310719444,3.60450608696917,0.000971735436751796,0.0333030930616558,-1.97129004967981,1.59993114019328
"ILMN_1714364","PTK2",1.20873799071799,8.13704304541667,3.60377587543893,0.000973719161164237,0.033347660506876,-1.97325353341863,1.20873799071799
"ILMN_1811470","PLEK2",0.504353158085673,8.81395902272222,-3.60140696782069,0.000980181601196819,0.0335454436768642,-1.97962210556004,0.504353158085673
"ILMN_2116714","SLC39A1",1.24007969704888,7.84804855119444,3.60106873653425,0.00098110767741961,0.033553607555087,-1.98053125168741,1.24007969704888
"ILMN_1688160","WDR27",1.5185574262237,5.00233948458333,3.59846523067566,0.000988264407921354,0.0337746974088136,-1.98752802690365,1.5185574262237
"ILMN_2079786","NUAK1",1.17012494377035,3.39131214169444,3.6016324320494,0.000991073569515553,0.0338470002890606,-1.98730594331657,1.17012494377035
"ILMN_1679178","ATP5F1D",0.753723010479231,6.59274486236111,-3.59648503059423,0.000993741472026262,0.033914381160348,-1.99284816321476,0.753723010479231
"ILMN_1685978","ATP5IF1",0.813695884340822,7.42439833897222,-3.59602040047219,0.00099503083850128,0.0339346540960014,-1.99409627627602,0.813695884340822
"ILMN_1675640","OAS1",0.629766376414972,7.32133124069444,-3.59325496973619,0.00100273850001417,0.0341479847366692,-2.00152339832298,0.629766376414972
"ILMN_1667306","RANBP10",0.612440102101603,8.78653854502778,-3.59302385839746,0.00100338524501329,0.0341479847366692,-2.00214397661478,0.612440102101603
"ILMN_1775569","CRISP2",0.520406711142822,4.1246589455,-3.59269458443947,0.00100430738530008,0.0341555493552613,-2.00302810895973,0.520406711142822
"ILMN_1805561","SLC14A1",0.667486172964739,9.05653416016667,-3.59151157780299,0.00100762718174263,0.0342079084735804,-2.00620429120573,0.667486172964739
"ILMN_2210837","CDC26",1.14863696122754,9.82667241055556,3.5914689012043,0.00100774714015578,0.0342079084735804,-2.00631886208638,1.14863696122754
"ILMN_2407235","RPS17",1.94748178299155,5.63943056511111,3.59139682617353,0.0010079497650761,0.0342079084735804,-2.00651235547263,1.94748178299155
"ILMN_2261519","AIRE",1.19054896004634,13.1804561877778,3.58745935110687,0.00101907917815371,0.0345615852198996,-2.01708024962797,1.19054896004634
"ILMN_1723706","GRAMD4",1.2969340310889,7.59565656466667,3.58653248531507,0.0010217161953985,0.0346269551972452,-2.01956711957248,1.2969340310889
"ILMN_1731561","ROBO3",0.64566171367271,5.89765241,-3.58585157128742,0.00102365765339044,0.0346686776255472,-2.02139389016339,0.64566171367271
"ILMN_1677574","GALNT6",0.693028584590215,6.17700782325,-3.58397825779912,0.00102901733695376,0.0348260284988589,-2.02641883674426,0.693028584590215
"ILMN_2239772","ABHD17A",0.796727433684374,8.01820543102778,-3.58362101888198,0.00103004249371752,0.0348365653644465,-2.02737695238364,0.796727433684374
"ILMN_1810055","FAM234A",0.800746033751388,7.32646850586111,-3.58279459014774,0.00103241784860252,0.0348927204053661,-2.0295932686881,0.800746033751388
"ILMN_1656185","DEF8",1.22093044632242,6.76661723722222,3.58196689139476,0.00103480215279807,0.0349160721774811,-2.03181275631229,1.22093044632242
"ILMN_1783709","RRAGA",0.871060764191757,10.2544189633056,-3.58194688512578,0.0010348598494393,0.0349160721774811,-2.03186640053964,0.871060764191757
"ILMN_2153485","NMNAT3",0.600934774315474,6.19410596658333,-3.58180984846716,0.00103525513679108,0.0349160721774811,-2.03223384295766,0.600934774315474
"ILMN_1781752","CLEC16A",1.16466285690151,8.38673382388889,3.58123556030484,0.00103691327805235,0.034947844412147,-2.033773637005,1.16466285690151
"ILMN_1681016","SPNS1",1.38121551331154,8.35876694825,3.5809649421968,0.00103769552152147,0.0349500721441077,-2.03449918500839,1.38121551331154
"ILMN_1703471","ATF6",1.26191756328106,8.61406053577778,3.57893602958564,0.00104357842644042,0.035123970996946,-2.03993805535516,1.26191756328106
"ILMN_1702229","TMEM121B",0.640456492001236,7.03990191458333,-3.57805087478262,0.00104615503703961,0.0351864261010641,-2.04231043127675,0.640456492001236
"ILMN_1752451","CTSH",1.41909537123795,6.68423301166667,3.57642810283846,0.0010508947426767,0.0353214987099526,-2.04665905572329,1.41909537123795
"ILMN_2230566","RAB40B",0.770686758331562,6.11570022647222,-3.57223889208277,0.00106322635846923,0.0356730544545414,-2.05788090527536,0.770686758331562
"ILMN_2341724","ANKRD55",1.27500847422298,6.84288359955556,3.57221716988056,0.00106329066369562,0.0356730544545414,-2.05793907786504,1.27500847422298
"ILMN_1757877","HCFC1R1",0.800465319284596,8.87766176752778,-3.57213052335236,0.00106354720470786,0.0356730544545414,-2.05817111777048,0.800465319284596
"ILMN_2200503","NIT2",1.26088504536366,6.97807797519444,3.57003042785189,0.0010697834155492,0.035832971879923,-2.06379439308392,1.26088504536366
"ILMN_1669273","PPT1",1.1819131331529,12.0414721455556,3.56888209272426,0.00107320828906786,0.0359230343836617,-2.06686856352582,1.1819131331529
"ILMN_1663422","RGL4",0.800511611687412,9.07003182991667,-3.56531351873667,0.0010839190977374,0.0362566852137618,-2.07641896486208,0.800511611687412
"ILMN_1761733","HLA-DMB",1.23413064255916,11.6640069541667,3.56500464606739,0.00108485098983923,0.0362630019569341,-2.07724537842486,1.23413064255916
"ILMN_2365248","HVCN1",1.28511785626779,7.88583902697222,3.56382200496645,0.00108842625725394,0.0363576089204407,-2.08040932365749,1.28511785626779
"ILMN_1751120","H4C8",1.71182191611324,7.92775321933333,3.56135055335922,0.00109593448605907,0.0365294542073932,-2.08701968477114,1.71182191611324
"ILMN_2384122","ADGRG1",0.692885604213606,10.0493414295556,-3.56114382952281,0.00109656476884271,0.0365294542073932,-2.08757251034344,0.692885604213606
"ILMN_1657746","BPHL",0.774855705819367,6.32484581294444,-3.56003170182838,0.00109996155282506,0.0366176150494689,-2.09054633259755,0.774855705819367
